Date,Forecast,Commodity
2026-05-12,474.10,Corn Futures
2026-05-13,475.30,Corn Futures
2026-05-14,476.55,Corn Futures
2026-05-15,477.60,Corn Futures
2026-05-18,478.90,Corn Futures
2026-05-19,480.15,Corn Futures
2026-05-20,481.10,Corn Futures
2026-05-21,482.35,Corn Futures
2026-05-22,483.25,Corn Futures
2026-05-25,484.50,Corn Futures
2026-05-12,552.90,Wheat Futures
2026-05-13,551.80,Wheat Futures
2026-05-14,551.00,Wheat Futures
2026-05-15,550.20,Wheat Futures
2026-05-18,549.25,Wheat Futures
2026-05-19,548.70,Wheat Futures
2026-05-20,547.80,Wheat Futures
2026-05-21,546.90,Wheat Futures
2026-05-22,545.95,Wheat Futures
2026-05-25,544.90,Wheat Futures
2026-05-12,1208.20,Soybean Futures
2026-05-13,1212.00,Soybean Futures
2026-05-14,1215.45,Soybean Futures
2026-05-15,1219.10,Soybean Futures
2026-05-18,1222.70,Soybean Futures
2026-05-19,1226.30,Soybean Futures
2026-05-20,1229.80,Soybean Futures
2026-05-21,1232.50,Soybean Futures
2026-05-22,1235.40,Soybean Futures
2026-05-25,1238.60,Soybean Futures
